id,name,category,energy_kcal,protein_g,carb_g,fat_g,fiber_g,sodium_mg
1,arroz branco cozido,cereais,128,2.5,28.1,0.2,1.6,1.0
2,arroz integral cozido,cereais,124,2.6,25.8,1.0,2.7,1.0
3,feijão carioca cozido,leguminosas,76,4.8,13.6,0.5,8.4,2.0
4,feijão preto cozido,leguminosas,77,4.5,14.0,0.5,8.9,2.0
5,lentilha cozida,leguminosas,93,7.0,16.3,0.4,7.9,2.0
6,grão de bico cozido,leguminosas,120,6.4,19.9,2.6,6.0,7.0
7,macarrão cozido,cereais,149,4.5,30.3,0.9,1.8,1.0
8,macarrão integral cozido,cereais,140,5.0,27.0,1.2,3.9,1.0
9,aveia em flocos,cereais,394,13.9,67.0,8.5,9.1,4.0
10,pão francês,panificados,300,9.3,58.6,3.1,2.3,592.0
11,pão de forma integral,panificados,253,10.0,41.0,5.0,6.9,430.0
12,pão de forma branco,panificados,266,8.4,49.4,3.8,2.5,488.0
13,tapioca,cereais,346,0.1,85.7,0.1,0.9,1.0
14,batata doce assada,tubérculos,77,1.4,18.0,0.1,3.3,36.0
15,batata inglesa cozida,tubérculos,52,1.2,11.6,0.1,1.8,2.0
16,batata frita,tubérculos,304,3.5,33.6,17.9,2.7,160.0
17,mandioca cozida,tubérculos,125,1.0,30.1,0.3,1.9,1.0
18,inhame cozido,tubérculos,94,1.3,21.7,0.2,2.1,12.0
19,frango peito grelhado,carnes,159,32.0,0.0,3.2,0.0,82.0
20,frango coxa cozida,carnes,180,24.5,0.0,9.0,0.0,79.0
21,frango desfiado,carnes,155,30.0,0.0,4.0,0.0,75.0
22,carne bovina grelhada,carnes,219,28.0,0.0,12.0,0.0,70.0
23,carne moída refogada,carnes,231,24.0,0.0,14.0,0.0,80.0
24,filé de tilápia grelhado,peixes,96,19.5,0.0,2.0,0.0,56.0
25,filé de salmão grelhado,peixes,208,22.0,0.0,13.0,0.0,59.0
26,atum em lata (água),peixes,127,27.0,0.0,2.0,0.0,400.0
27,camarão cozido,frutos do mar,99,20.9,0.4,1.5,0.0,230.0
28,ovo inteiro cozido,ovos,143,12.5,0.6,10.0,0.0,130.0
29,ovo mexido,ovos,175,12.5,1.2,13.4,0.0,180.0
